Column 1,opcode[6:0],operation,Type,Pseudocode,Column 1,comments,Signed-off by
add.s,0000001,Add,R,rd = rs1 + rs2,1,,Sooraj Chetput
sub.s,0000010,Sub,R,rd = rs1 - rs2,2,,Sooraj Chetput
mul.s,0000011,Multiply,R,rd = rs1 * rs2,3,,Sooraj Chetput
div.s,0000100,Divide,R,rd = rs1 / rs2,4,,Sooraj Chetput
mod.s,0000101,Modular,R,rd = rs1 % rs2,5,,Sooraj Chetput
or.s,0000110,Or,R,rd = rs1 | rs2,6,,Sooraj Chetput
and.s,0000111,And,R,rd = rs1 & rs2,7,,Sooraj Chetput
xor.s,0001000,Xor,R,rd = rs1 ^ rs2,8,,Sooraj Chetput
sll.s,0001001,Shift left logical,R,rd = rs1 << rs2,9,,Sooraj Chetput
srl.s,0001010,Shift Right Logical,R,rd = rs1 >> rs2,10,,Sooraj Chetput
sra.s,0001011,Shift Right Arith,R,rd = rs1 >> rs2,11,,Sooraj Chetput
slt.s,0001100,Set Less Than,R,rd = rs1 < rs2,12,,Sooraj Chetput
sltu.s,0001101,Set Less Than (U),R,rd = u(rs1) < u(rs2),13,,Sooraj Chetput
add.bf,0001110,Add BF16,R,rd = rs1 + rs2,14,,Rishikesh Bathina
sub.bf,0001111,Sub BF16,R,rd = rs1 - rs2,15,,Rishikesh Bathina
mul.bf,0010000,Multiply BF16,R,rd = rs1 * rs2,16,,Rishikesh Bathina
div.bf,0010001,Divide BF16,R,rd = rs1 / rs2,17,,Rishikesh Bathina
slt.bf,0010010,Set Less Than BF16,R,rd = rs1 < rs2,18,,Rishikesh Bathina
sltu.bf,0010011,Set Less Than (U) BF16,R,rd = u(rs1) < u(rs2),19,,Rishikesh Bathina
stbf.s,0010100,Converts Scalar to BF16,R,rd = BF16(rs1),20,,Rishikesh Bathina
bfts.s,0010101,Converts BF16 to Scalar,R,rd = INT(rs1),21,,Rishikesh Bathina
addi.s,0010110,Add,I,rd = rs1 + imm,22,,Sooraj Chetput
subi.s,0010111,Sub,I,rd = rs1 - imm,23,,Sooraj Chetput
muli.s,0011000,Multiply,I,rd = rs1 * imm,24,,Sooraj Chetput
divi.s,0011001,Divide,I,rd = rs1 / imm,25,,Sooraj Chetput
modi.s,0011010,Modular,I,rd = rs1 % imm,26,,Sooraj Chetput
ori.s,0011011,Or,I,rd = rs1 | imm,27,,Sooraj Chetput
andi.s,0011100,And,I,rd = rs1 & imm,28,,Sooraj Chetput
xori.s,0011101,Xor,I,rd = rs1 ^ imm,29,,Sooraj Chetput
slli.s,0011110,Shift left logical,I,rd = rs1 << (imm & 0x1F),30,,Sooraj Chetput
srli.s,0011111,Shift Right Logical,I,rd = rs1 >> (imm & 0x1F),31,,Sooraj Chetput
srai.s,0100000,Shift Right Arith,I,rd = rs1 >> (imm & 0x1F),32,,Sooraj Chetput
slti.s,0100001,Set Less Than,I,rd = rs1 < imm,33,,Sooraj Chetput
sltui.s,0100010,Set Less Than (U),I,rd = u(rs1) < u(imm),34,,Sooraj Chetput
beq.s,0100011,Branch Equal,BR,rs1 = rs1 + incr7; if (rs1 == rs2) PC = PC + imm,35,,Sooraj Chetput
bne.s,0100100,Branch Not Equal,BR,rs1 = rs1 + incr7; if (rs1 != rs2) PC = PC + imm,36,,Sooraj Chetput
blt.s,0100101,Branch Less Than,BR,rs1 = rs1 + incr7; if (rs1 < rs2) PC = PC + imm,37,,Sooraj Chetput
bge.s,0100110,Branch Greater Than or Equal,BR,rs1 = rs1 + incr7; if (rs1 >= rs2) PC = PC + imm,38,,Sooraj Chetput
bgt.s,0100111,Branch Greater Than ,BR,rs1 = rs1 + incr7; if (rs1 > rs2) PC = PC + imm,39,,Sooraj Chetput
ble.s,0101000,Branch Less Than or Equal,BR,rs1 = rs1 + incr7; if (rs1 <= rs2) PC = PC + imm,40,,Sooraj Chetput
lw.s,0101001,load word,M,rd = MEM[rs1 + sign(imm[11:0])],41,,Sooraj Chetput
sw.s,0101010,store word,M,MEM[rs1 + sign(imm[11:0])] = rd,42,,Sooraj Chetput
jal,0101011,jump and link,MI,rd = PC+4; PC += imm,43,,Sooraj Chetput
jalr,0101100,jump and link register,I,rd = PC+4; PC = rs1 + imm,44,,Sooraj Chetput
li.s,0101101,load immediate,MI,rd[24:0] = imm[24:0],45,Pseudo instructions,Sooraj Chetput
lui.s,0101110,load upper immediate,MI,rd[31:25] =imm[6:0],46,,Sooraj Chetput
nop.s,0101111,no operation,S,Do nothing,47,,Sooraj Chetput
halt.s,0110000,halt program,S,stop increment PC,48,,Sooraj Chetput
barrier.s,0110001,force all prior packets to complete,S,,49,,Sooraj Chetput
add.vv,0110010,element-wise add,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] + vs2[i]; 
PC = PC + 4",50,,Sooraj Chetput
sub.vv,0110011,element-wise sub,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] - vs2[i]; 
PC = PC + 4",51,,Sooraj Chetput
mul.vv,0110100,element-wise multiply,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] * vs2[i]; 
PC = PC + 4",52,,Sooraj Chetput
div.vv,0110101,element-wise divide,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] / vs2[i]; 
PC = PC + 4",53,,Sooraj Chetput
and.vv,0110110,element-wise -- bitwise and,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] & vs2[i]; 
PC = PC + 4",54,,Sooraj Chetput
or.vv,0110111,element-wise -- bitwise or,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] | vs2[i]; 
PC = PC + 4",55,,Sooraj Chetput
xor.vv,0111000,element-wise -- bitwise xor,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vd[i] = vs1[i] ^ vs2[i]; 
PC = PC + 4",56,,Sooraj Chetput
gemm.vv,0111001,send input and psum to sys array,VV,"vd = vs1 * weights + vs2;
PC = PC + 4",57,,Sooraj Chetput
mgt.vv,0111010,mask greater than,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] > vs2[i]; 
PC = PC + 4",58,,Sooraj Chetput
mlt.vv,0111011,mask less than ,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] < vs2[i]; 
PC = PC + 4",59,,Sooraj Chetput
meq.vv,0111100,mask equals to ,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] == vs2[i]; 
PC = PC + 4",60,,Sooraj Chetput
mneq.vv,0111101,mask not equals to,VV,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] != vs2[i]; 
PC = PC + 4",61,,Sooraj Chetput
addi.vi,0111110,element-wise add immediate,VI,"for (i=0; i<VL; i++)
if (mask[i]) 
     vd[i] = vs1[i] + imm; 
PC = PC + 4",62,,"Vedant, Sooraj"
subi.vi,0111111,element-wise subtract immediate,VI,"for (i=0; i<VL; i++) 
if (mask[i]) 
    vd[i] = vs1[i] - imm;
PC = PC + 4",63,,"Vedant, Sooraj"
muli.vi,1000000,element-wise multiply immediate,VI,"for (i=0; i<VL; i++)
if (mask[i]) 
    vd[i] = vs1[i] * imm; 
PC = PC + 4",64,,"Vedant, Sooraj"
divi.vi,1000001,element-wise divide immediate,VI,"for (i=0; i<VL; i++) 
if (mask[i]) 
   vd[i] = vs1[i] / imm; 
PC = PC + 4",65,,"Vedant, Sooraj"
expi.vi,1000010,element-wise exponentiation,VI,"for (i=0; i<VL; i++)
if (mask[i])
vd[i] = exp(vs1[i]);
PC = PC + 4",66,,Fan Jing Hoon
sqrti.vi,1000011,element-wise square root,VI,"for (i=0; i<VL; i++) 
    if (mask[i]) 
        vd[i] = sqrt(vs1[i]); 
PC = PC + 4",67,,"Walter, Jacob"
not.vi,1000100,element-wise bitwise not,VI,"for (i=0; i<VL; i++) 
    if (mask[i]) 
        vd[i] = ~(vs1[i]); 
PC = PC + 4",68,,"Vedant, Sooraj"
